车　次,到达方向,出发方向,到达时刻,出发时刻,股道
K134,京九上行,南昌上行,23:25,23:48,1
K123/2,梁家渡下行,南昌上行,23:49,23:59,3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
